id,beacon1,beacon2,beacon3,location
714,-79,-69,-92,2
715,-81,-65,-92,2
716,-93,-68,-90,2
717,-999,-999,-999,2
718,-999,-999,-999,2
719,-82,-65,-94,2
720,-92,-68,-90,2
721,-79,-69,-91,2
722,-82,-65,-94,2
723,-999,-999,-999,2
724,-80,-69,-93,2
725,-82,-65,-95,2
726,-82,-63,-95,2
727,-80,-70,-92,2
728,-999,-999,-999,2
729,-91,-68,-90,2
730,-79,-69,-92,2
731,-93,-68,-89,2
732,-999,-999,-999,2
733,-82,-65,-94,2
734,-93,-68,-91,2
735,-94,-69,-91,2
736,-81,-65,-999,2
737,-95,-68,-90,2
738,-80,-69,-89,2
739,-83,-65,-94,2
740,-92,-68,-90,2
741,-999,-68,-999,2
742,-82,-65,-92,2
743,-79,-68,-93,2
744,-999,-999,-999,2
745,-82,-65,-96,2
746,-78,-69,-92,2
747,-83,-64,-93,2
748,-93,-68,-90,2
749,-79,-69,-93,2
750,-999,-999,-999,2
751,-94,-68,-90,2
752,-80,-69,-94,2
753,-83,-65,-95,2
754,-999,-999,-999,2
755,-82,-65,-95,2
756,-92,-68,-89,2
757,-78,-69,-93,2
758,-999,-65,-999,2
759,-80,-69,-91,2
760,-83,-65,-92,2
761,-93,-67,-90,2
762,-94,-68,-89,2
763,-85,-66,-94,2
764,-90,-68,-94,2
765,-78,-69,-90,2
766,-83,-65,-95,2
767,-78,-70,-90,2
768,-82,-65,-91,2
769,-95,-68,-89,2
770,-78,-69,-91,2
771,-999,-999,-999,2
772,-999,-999,-999,2
773,-92,-67,-93,2
774,-80,-69,-92,2
775,-81,-65,-94,2
776,-94,-65,-91,2
777,-80,-71,-91,2
778,-83,-65,-95,2
779,-80,-70,-93,2
780,-999,-999,-999,2
781,-92,-68,-90,2
782,-79,-70,-91,2
783,-81,-65,-95,2
784,-93,-68,-90,2
785,-84,-65,-91,2
786,-999,-68,-90,2
787,-80,-69,-92,2
788,-83,-65,-93,2
789,-81,-65,-90,2
790,-86,-70,-96,2
791,-999,-68,-90,2
792,-80,-69,-92,2
793,-86,-65,-999,2
794,-80,-69,-91,2
795,-84,-65,-93,2
796,-999,-68,-90,2
797,-80,-69,-93,2
798,-100,-67,-89,2
799,-78,-69,-91,2
800,-82,-65,-90,2
801,-91,-68,-89,2
802,-82,-65,-93,2
803,-92,-68,-90,2
804,-80,-69,-92,2
805,-80,-66,-94,2
806,-80,-70,-92,2
807,-999,-999,-999,2
808,-83,-65,-92,2
809,-92,-70,-91,2
810,-82,-64,-91,2
811,-92,-68,-91,2
812,-82,-65,-94,2
813,-999,-999,-999,2
814,-80,-69,-91,2
815,-82,-65,-94,2
816,-94,-69,-91,2
817,-80,-69,-93,2
818,-91,-68,-91,2
819,-81,-69,-92,2
820,-80,-65,-92,2
821,-94,-67,-92,2
822,-80,-65,-91,2
823,-95,-68,-90,2
824,-80,-69,-92,2
825,-82,-65,-92,2
826,-80,-70,-94,2
827,-82,-65,-92,2
828,-90,-68,-90,2
829,-80,-69,-91,2
830,-95,-68,-90,2
831,-96,-68,-91,2
832,-81,-65,-95,2
833,-99,-68,-90,2
834,-80,-65,-90,2
835,-80,-66,-91,2
836,-94,-69,-91,2
837,-80,-65,-91,2
838,-95,-70,-91,2
839,-93,-68,-90,2
840,-80,-65,-93,2
841,-94,-68,-90,2
842,-999,-999,-999,2
843,-82,-65,-96,2
